port,proto,bind,process,pid,unit,container,image,compose_file,notes
53,udp,0.0.0.0,,,,,,,
68,udp,192.168.50.97%enx00e04c030111,,,,,,,
123,udp,0.0.0.0,,,,,,,
41641,udp,0.0.0.0,,,,,,,
53543,udp,0.0.0.0,syncthing,41851,,,,,
21027,udp,0.0.0.0,syncthing,41851,,,,,
22000,udp,*,syncthing,41851,,,,,
53,udp,[::],,,,,,,
123,udp,[::],,,,,,,
546,udp,[fe80::529:88e6:6808:c420]%wlp3s0,,,,,,,
546,udp,[fe80::2e0:4cff:fe03:111]%enx00e04c030111,,,,,,,
41641,udp,[::],,,,,,,
58636,udp,[::],syncthing,41851,,,,,
21027,udp,[::],syncthing,41851,,,,,
5432,tcp,127.0.0.1,,,,,,,
443,tcp,0.0.0.0,,,,,,,
8443,tcp,0.0.0.0,,,,,,,
80,tcp,0.0.0.0,,,,,,,
53,tcp,0.0.0.0,,,,,,,
53077,tcp,100.98.189.105,,,,,,,
8888,tcp,0.0.0.0,,,,,,,
8080,tcp,0.0.0.0,,,,,,,
5550,tcp,0.0.0.0,,,,,,,
5551,tcp,0.0.0.0,,,,,,,
5554,tcp,0.0.0.0,,,,,,,
5555,tcp,0.0.0.0,,,,,,,
5552,tcp,0.0.0.0,,,,,,,
5553,tcp,0.0.0.0,,,,,,,
5557,tcp,0.0.0.0,,,,,,,
36749,tcp,127.0.0.1,code-insiders-c,1729535,,,,,
3000,tcp,*,,,,,,,
8443,tcp,[::],,,,,,,
8384,tcp,*,syncthing,41851,,,,,
53,tcp,[::],,,,,,,
22,tcp,*,,,,,,,
9090,tcp,*,,,,,,,
8080,tcp,[::],,,,,,,
22000,tcp,*,syncthing,41851,,,,,
5550,tcp,[::],,,,,,,
5551,tcp,[::],,,,,,,
5554,tcp,[::],,,,,,,
5555,tcp,[::],,,,,,,
5552,tcp,[::],,,,,,,
5553,tcp,[::],,,,,,,
5557,tcp,[::],,,,,,,
60310,tcp,[fd7a:115c:a1e0::bd01:bd6a],,,,,,,
